13.07,126.8,DeVante Parker,WR,MIA,166,5
13.08,127.6,Reggie Wayne,WR,NE,107,10
13.08,127.8,Denver Defense,DEF,DEN,176,7
13.08,127.9,Andre Williams,RB,NYG,118,11
13.08,128.0,Colin Kaepernick,QB,SF,63,10
13.08,128.2,Kenny Stills,WR,MIA,48,5
13.09,128.6,Montee Ball,RB,DEN,64,7
13.09,129.4,Michael Floyd,WR,ARI,130,9
13.10,129.9,Philadelphia Defense,DEF,PHI,217,8
13.10,129.9,Brandon Coleman,WR,NO,40,11
13.10,130.2,Reggie Bush,RB,SF,133,10
13.10,130.3,Kendall Wright,WR,TEN,175,4
14.01,130.6,Josh Hill,TE,NO,75,11
14.01,131.0,Cameron Artis-Payne,RB,CAR,66,5
14.01,131.0,Marvin Jones,WR,CIN,53,7
14.01,131.2,Michael Crabtree,WR,OAK,88,6
14.02,131.6,Joe Flacco,QB,BAL,92,9
14.02,132.1,Jay Cutler,QB,CHI,56,7
14.03,132.8,Arizona Defense,DEF,ARI,229,9
14.04,134.2,Matt Jones,RB,WAS,49,8
14.04,134.2,Steven Hauschka,K,SEA,199,9
14.05,135.4,Jameis Winston,QB,TB,51,6
14.06,136.5,Dan Bailey,K,DAL,191,6
14.08,137.7,Mason Crosby,K,GB,176,7
14.09,138.7,Carolina Defense,DEF,CAR,120,5
14.09,139.0,Baltimore Defense,DEF,BAL,45,9
14.09,139.3,Green Bay Defense,DEF,GB,56,7
14.09,139.4,Kansas City Defense,DEF,KC,155,9
14.10,139.6,New England Defense,DEF,NE,43,4
14.10,140.1,Cody Parkey,K,PHI,178,8
14.10,140.2,Justin Tucker,K,BAL,189,9
15.02,141.9,Minnesota Defense,DEF,MIN,48,5
15.04,143.8,Matt Bryant,K,ATL,140,10
15.05,144.6,Matt Prater,K,DET,116,9
15.05,145.0,Connor Barth,K,TB,77,7
15.06,145.9,Blair Walsh,K,MIN,57,5
