13.11,154.5,Khiry Robinson,RB,NO,11
13.11,155.1,Richard Rodgers,TE,GB,7
13.11,155.4,Roy Helu,RB,OAK,6
13.11,155.5,Marcus Mariota,QB,TEN,4
13.12,155.7,Austin Seferian-Jenkins,TE,TB,6
14.02,157.5,Cody Parkey,K,PHI,8
14.02,157.6,Steven Hauschka,K,SEA,9
14.02,157.6,Carolina Defense,DEF,CAR,5
14.02,157.7,Jameis Winston,QB,TB,6
14.02,158.2,Phillip Dorsett,WR,IND,10
14.02,158.2,James Starks,RB,GB,7
14.02,158.4,Allen Hurns,WR,JAC,8
14.03,159.1,Rueben Randle,WR,NYG,11
14.04,160.4,Dan Bailey,K,DAL,6
14.05,160.7,Andy Dalton,QB,CIN,7
14.06,161.9,Derek Carr,QB,OAK,6
14.06,161.9,Mason Crosby,K,GB,7
14.06,162.3,Justin Tucker,K,BAL,9
14.07,163.0,New England Defense,DEF,NE,4
14.09,164.8,Green Bay Defense,DEF,GB,7
14.09,165.3,Baltimore Defense,DEF,BAL,9
14.10,165.8,Matt Prater,K,DET,9
14.11,166.6,Indianapolis Defense,DEF,IND,10
14.11,166.7,Minnesota Defense,DEF,MIN,5
14.11,167.3,Cincinnati Defense,DEF,CIN,7
14.11,167.3,Matt Bryant,K,ATL,10
14.12,167.8,Sebastian Janikowski,K,OAK,6
15.03,171.0,Brandon McManus,K,DEN,7
15.05,173.0,Blair Walsh,K,MIN,5
15.07,175.0,Greg Zuerlein,K,STL,6
